
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 1220: loss 6.5087, time 651.28ms, mfu 4.20%
iter 1230: loss 6.2866, time 648.92ms, mfu 4.21%
iter 1240: loss 6.6320, time 649.85ms, mfu 4.22%
iter 1250: loss 6.3953, time 651.51ms, mfu 4.23%
iter 1260: loss 6.7147, time 649.93ms, mfu 4.24%
iter 1270: loss 6.1489, time 650.89ms, mfu 4.24%
iter 1280: loss 6.2796, time 651.31ms, mfu 4.25%
iter 1290: loss 6.7742, time 651.68ms, mfu 4.26%
iter 1300: loss 6.4346, time 649.34ms, mfu 4.26%
iter 1310: loss 6.1858, time 651.08ms, mfu 4.27%
iter 1320: loss 6.4869, time 650.76ms, mfu 4.27%
iter 1330: loss 6.3015, time 651.17ms, mfu 4.28%
iter 1340: loss 5.9593, time 650.16ms, mfu 4.28%
iter 1350: loss 6.0443, time 915.94ms, mfu 4.16%
iter 1360: loss 6.5981, time 650.74ms, mfu 4.17%
iter 1370: loss 6.7788, time 651.17ms, mfu 4.19%
iter 1380: loss 6.0654, time 650.09ms, mfu 4.20%
iter 1390: loss 6.4375, time 650.12ms, mfu 4.21%
iter 1400: loss 6.4281, time 651.97ms, mfu 4.22%
iter 1410: loss 6.2957, time 650.97ms, mfu 4.23%
iter 1420: loss 5.9462, time 649.35ms, mfu 4.24%
iter 1430: loss 6.7562, time 650.06ms, mfu 4.25%
iter 1440: loss 6.3440, time 650.03ms, mfu 4.25%
iter 1450: loss 7.0100, time 650.93ms, mfu 4.26%
iter 1460: loss 6.3532, time 649.88ms, mfu 4.26%
iter 1470: loss 6.5381, time 649.77ms, mfu 4.27%
iter 1480: loss 6.9276, time 648.92ms, mfu 4.28%
iter 1490: loss 6.3123, time 649.57ms, mfu 4.28%
step 1500: train loss 6.3678, val loss 6.3937
saving checkpoint to out
iter 1500: loss 6.2464, time 17879.36ms, mfu 3.87%
iter 1510: loss 6.3307, time 648.14ms, mfu 3.91%
iter 1520: loss 6.5319, time 649.69ms, mfu 3.95%
iter 1530: loss 6.4861, time 648.99ms, mfu 3.99%
iter 1540: loss 6.6561, time 649.74ms, mfu 4.02%
iter 1550: loss 5.9525, time 648.93ms, mfu 4.05%
iter 1560: loss 6.1910, time 650.48ms, mfu 4.08%
iter 1570: loss 7.0953, time 650.93ms, mfu 4.10%
iter 1580: loss 6.3818, time 649.45ms, mfu 4.12%
iter 1590: loss 6.0929, time 649.92ms, mfu 4.14%
iter 1600: loss 6.2921, time 651.21ms, mfu 4.16%
iter 1610: loss 6.2021, time 649.65ms, mfu 4.18%
iter 1620: loss 6.1017, time 652.85ms, mfu 4.19%
iter 1630: loss 5.9472, time 651.50ms, mfu 4.20%
iter 1640: loss 6.3210, time 648.61ms, mfu 4.21%
iter 1650: loss 6.3541, time 649.00ms, mfu 4.22%
