
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 2070: loss 8.7422, time 654.72ms, mfu 4.08%
iter 2080: loss 8.7336, time 655.55ms, mfu 4.10%
iter 2090: loss 8.1207, time 656.10ms, mfu 4.12%
iter 2100: loss 8.4799, time 655.33ms, mfu 4.13%
iter 2110: loss 8.2391, time 656.54ms, mfu 4.15%
iter 2120: loss 8.3223, time 657.77ms, mfu 4.16%
iter 2130: loss 8.4281, time 658.05ms, mfu 4.17%
iter 2140: loss 8.4830, time 655.60ms, mfu 4.18%
iter 2150: loss 8.8585, time 655.68ms, mfu 4.19%
iter 2160: loss 8.1288, time 657.63ms, mfu 4.20%
iter 2170: loss 8.5032, time 657.25ms, mfu 4.20%
iter 2180: loss 8.3827, time 659.29ms, mfu 4.21%
iter 2190: loss 8.3717, time 659.22ms, mfu 4.21%
iter 2200: loss 8.2465, time 656.94ms, mfu 4.22%
iter 2210: loss 8.1180, time 657.56ms, mfu 4.22%
iter 2220: loss 8.3473, time 658.51ms, mfu 4.23%
iter 2230: loss 8.4135, time 656.40ms, mfu 4.23%
iter 2240: loss 8.4997, time 658.61ms, mfu 4.24%
iter 2250: loss 8.0752, time 655.01ms, mfu 4.24%
iter 2260: loss 8.2321, time 654.99ms, mfu 4.24%
iter 2270: loss 7.9507, time 659.78ms, mfu 4.25%
iter 2280: loss 8.3138, time 657.09ms, mfu 4.25%
iter 2290: loss 8.3297, time 657.51ms, mfu 4.25%
iter 2300: loss 8.0275, time 658.31ms, mfu 4.25%
iter 2310: loss 8.4144, time 656.59ms, mfu 4.25%
iter 2320: loss 8.5008, time 656.46ms, mfu 4.25%
iter 2330: loss 8.0382, time 658.58ms, mfu 4.26%
iter 2340: loss 9.4625, time 658.03ms, mfu 4.26%
iter 2350: loss 8.3234, time 658.90ms, mfu 4.26%
iter 2360: loss 8.7206, time 657.10ms, mfu 4.26%
iter 2370: loss 8.9491, time 657.08ms, mfu 4.26%
iter 2380: loss 8.5192, time 660.66ms, mfu 4.26%
iter 2390: loss 8.1460, time 659.47ms, mfu 4.26%
iter 2400: loss 8.1594, time 655.41ms, mfu 4.26%
iter 2410: loss 8.2866, time 660.44ms, mfu 4.26%
iter 2420: loss 8.3513, time 659.67ms, mfu 4.26%
iter 2430: loss 8.0526, time 658.95ms, mfu 4.26%
iter 2440: loss 9.0722, time 657.15ms, mfu 4.26%
iter 2450: loss 8.2781, time 657.49ms, mfu 4.26%
iter 2460: loss 7.6167, time 656.56ms, mfu 4.26%
iter 2470: loss 7.9360, time 658.69ms, mfu 4.26%
iter 2480: loss 8.4964, time 659.47ms, mfu 4.26%
iter 2490: loss 8.0037, time 656.73ms, mfu 4.26%
step 2500: train loss 8.2387, val loss 8.2933
saving checkpoint to out
iter 2500: loss 8.4386, time 17523.52ms, mfu 3.85%
iter 2510: loss 8.0978, time 653.26ms, mfu 3.90%
iter 2520: loss 8.1152, time 655.48ms, mfu 3.93%
iter 2530: loss 8.1781, time 654.86ms, mfu 3.97%
iter 2540: loss 8.1680, time 653.53ms, mfu 4.00%
iter 2550: loss 8.0513, time 658.31ms, mfu 4.03%
iter 2560: loss 8.2152, time 657.55ms, mfu 4.05%
iter 2570: loss 8.4217, time 655.67ms, mfu 4.07%
iter 2580: loss 8.7573, time 656.09ms, mfu 4.09%
iter 2590: loss 8.6407, time 655.57ms, mfu 4.11%
iter 2600: loss 7.6913, time 655.67ms, mfu 4.13%
iter 2610: loss 8.2121, time 656.79ms, mfu 4.14%
iter 2620: loss 8.9329, time 654.98ms, mfu 4.16%
iter 2630: loss 8.2508, time 658.83ms, mfu 4.17%
iter 2640: loss 7.8097, time 658.41ms, mfu 4.18%
iter 2650: loss 7.9373, time 658.04ms, mfu 4.19%
iter 2660: loss 8.1595, time 657.92ms, mfu 4.19%
iter 2670: loss 8.0481, time 655.70ms, mfu 4.20%
iter 2680: loss 8.2156, time 655.67ms, mfu 4.21%
iter 2690: loss 9.1876, time 656.05ms, mfu 4.22%
iter 2700: loss 8.3231, time 658.63ms, mfu 4.22%
iter 2710: loss 8.3014, time 658.45ms, mfu 4.22%
iter 2720: loss 8.3529, time 657.82ms, mfu 4.23%
iter 2730: loss 8.0339, time 658.68ms, mfu 4.23%
